No.,Time,Source,Destination,Protocol,Length,Info,SourcePort,DestinationPort
1,0,192.168.1.41,172.217.163.202,UDP,75,56104  >  443 Len=33,56104,443
2,0.020739,172.217.163.202,192.168.1.41,UDP,67,443  >  56104 Len=25,443,56104
3,1.62653,192.168.1.41,172.217.163.202,UDP,75,56104  >  443 Len=33,56104,443
4,1.647854,172.217.163.202,192.168.1.41,UDP,67,443  >  56104 Len=25,443,56104
5,2.273481,192.168.1.41,34.213.81.249,TCP,55,64381  >  443 [ACK] Seq=1 Ack=1 Win=513 Len=1 [TCP segment of a reassembled PDU],64381,443
6,2.524098,34.213.81.249,192.168.1.41,TCP,66,443  >  64381 [ACK] Seq=1 Ack=2 Win=422 Len=0 SLE=1 SRE=2,443,64381
7,4.849281,192.168.1.41,172.217.163.202,UDP,75,56104  >  443 Len=33,56104,443
8,4.870372,172.217.163.202,192.168.1.41,UDP,67,443  >  56104 Len=25,443,56104
9,6.300689,192.168.1.41,157.240.228.60,TLSv1.2,85,Application Data,59655,443
10,6.317395,157.240.228.60,192.168.1.41,TCP,54,443  >  59655 [ACK] Seq=1 Ack=32 Win=611 Len=0,443,59655
11,6.548602,157.240.228.60,192.168.1.41,TLSv1.2,92,Application Data,443,59655
12,6.597697,192.168.1.41,157.240.228.60,TCP,54,59655  >  443 [ACK] Seq=32 Ack=39 Win=511 Len=0,59655,443
13,6.950394,192.168.1.41,142.250.183.227,QUIC,1392,"Initial, DCID=8538658278cbb9f4, PKN: 1, CRYPTO, PADDING",50516,443
14,6.950951,192.168.1.41,142.250.183.227,QUIC,121,"0-RTT, DCID=8538658278cbb9f4",50516,443
15,6.952795,192.168.1.41,172.217.160.138,QUIC,1392,"Initial, DCID=e4a60cf87199c28d, PKN: 1, CRYPTO, PADDING",55192,443
16,6.953064,192.168.1.41,172.217.160.138,QUIC,118,"0-RTT, DCID=e4a60cf87199c28d",55192,443
17,6.955597,192.168.1.41,142.250.77.132,UDP,353,62422  >  443 Len=311,62422,443
18,6.957024,192.168.1.41,142.250.193.163,QUIC,1392,"Initial, DCID=da10313380d3a8fb, PKN: 1, CRYPTO, PADDING",60303,443
19,6.957884,192.168.1.41,142.250.193.163,QUIC,121,"0-RTT, DCID=da10313380d3a8fb",60303,443
20,6.959059,192.168.1.41,142.250.77.132,UDP,302,62422  >  443 Len=260,62422,443
21,6.971543,142.250.77.132,192.168.1.41,UDP,73,443  >  62422 Len=31,443,62422
22,6.975998,142.250.77.132,192.168.1.41,UDP,73,443  >  62422 Len=31,443,62422
23,6.976303,192.168.1.41,142.250.77.132,UDP,75,62422  >  443 Len=33,62422,443
24,6.994072,142.250.183.227,192.168.1.41,UDP,1392,"Initial, SCID=8538658278cbb9f4, PKN: 1, ACK, PADDING",443,50516
25,6.995159,172.217.160.138,192.168.1.41,UDP,1392,"Initial, SCID=e4a60cf87199c28d, PKN: 1, ACK, PADDING",443,55192
26,6.999585,142.250.193.163,192.168.1.41,UDP,1392,"Initial, SCID=da10313380d3a8fb, PKN: 1, ACK, PADDING",443,60303
27,7.002944,142.250.183.227,192.168.1.41,UDP,1392,Protected Payload (KP0),443,50516
28,7.002944,142.250.183.227,192.168.1.41,UDP,664,Protected Payload (KP0),443,50516
29,7.003671,192.168.1.41,142.250.183.227,UDP,120,"Handshake, DCID=8538658278cbb9f4",50516,443
30,7.003879,192.168.1.41,142.250.183.227,UDP,75,"Protected Payload (KP0), DCID=8538658278cbb9f4",50516,443
31,7.004171,172.217.160.138,192.168.1.41,UDP,1392,Protected Payload (KP0),443,55192
32,7.004171,172.217.160.138,192.168.1.41,UDP,664,Protected Payload (KP0),443,55192
33,7.004683,192.168.1.41,172.217.160.138,UDP,120,"Handshake, DCID=e4a60cf87199c28d",55192,443
34,7.004839,192.168.1.41,172.217.160.138,UDP,75,"Protected Payload (KP0), DCID=e4a60cf87199c28d",55192,443
35,7.008576,142.250.193.163,192.168.1.41,UDP,1392,Protected Payload (KP0),443,60303
36,7.008576,142.250.193.163,192.168.1.41,UDP,664,Protected Payload (KP0),443,60303
37,7.009301,192.168.1.41,142.250.193.163,UDP,120,"Handshake, DCID=da10313380d3a8fb",60303,443
38,7.009646,192.168.1.41,142.250.193.163,UDP,75,"Protected Payload (KP0), DCID=da10313380d3a8fb",60303,443
39,7.013205,142.250.77.132,192.168.1.41,UDP,113,443  >  62422 Len=71,443,62422
